Author,Section,Question,Answer
Original Text,3.3.0,What type of models should we build to deal with this problem?,n-gram models
Original Text,3.3.0,What type of genre should a training corpus have?,similar genre
Original Text,3.3.0,What do we need a training corpus of?,legal documents
Original Text,3.3.0,What do we need to build a language model for a question-answering system?,a training corpus of questions
Original Text,3.3.0,What is it important to get training data in when processing social media posts or spoken transcripts?,dialect or variety
Original Text,3.3.0,What is the name for the many variations of language used in African American communities?,African American Language
Original Text,3.3.0,What is a spelling for a word that marks immediate future tense that doesn't occur in other varieties?,den for then
Original Text,3.3.0,What language has markedly different vocabulary and n-gram patterns from American English?,Nigerian English
Original Text,3.3.0,What is beta get ur wiv twitter?,IT placement
Original Text,3.3.0,What is still not sufficient?,Matching genres and dialects
Original Text,3.3.0,Our models may still be subject to the problem of what?,sparsity
Original Text,3.3.0,What is a good estimate of the probability of a sufficient number of times?,n-gram
Original Text,3.3.0,What language is bound to be missing from any corpus?,English
Original Text,3.3.0,What do we have many cases of that should have some non-zero probability?,"""zero probability n-grams"""
Original Text,3.3.0,What is the bigram that follows the bigram in the WSJ Treebank corpus?,denied the
Original Text,3.3.0,What are two phrases in the WSJ Treebank corpus that our model will incorrectly estimate that the P(offer|denied the),denied the offer or denied the loan
Original Text,3.3.0,What is the P(offer|denied the)?,0
Original Text,3.3.0,What are things that don't ever occur in the training set but do occur in the test set?,zeros
Original Text,3.3.0,What means we are underestimating the probability of all sorts of words that might occur?,their presence
Original Text,3.3.0,"If the probability of any word in the test set is 0, what is the entire probability of the test set?","if the probability of any word in the test set is 0, the entire probability of the test set is 0."
Original Text,3.3.0,What is perplexity based on?,inverse probability of the test set
Original Text,3.3.0,Why can't we compute perplexity if some words have zero probability?,we can't divide by 0
Original Text,3.3.1,What is the problem of words whose probability is zero?,bigram probability
Original Text,3.3.1,What is the problem of words whose bigram probability is zero?,words we simply have never seen before
Original Text,3.3.1,Why can't we have a language task in which this can't happen?,because we know all the words that can occur
Original Text,3.3.1,"In a closed vocabulary system, the test set can only contain words from this lexicon, and there will be no what?",unknown words
Original Text,3.3.1,What is a domain where we have a pronunciation dictionary or a phrase table that are fixed in advance?,machine translation
Original Text,3.3.1,What are OOV words?,out of vocabulary
Original Text,3.3.1,What is the percentage of OOV words that appear in the test set called?,OOV rate
Original Text,3.3.1,What is the pseudo-word used in an open vocabulary system?,UNK>
Original Text,3.3.1,How many ways are there to train the probabilities of the unknown word model UNK>?,two
Original Text,3.3.1,What is an example of a vocabulary size V in advance?,"50,000"
Original Text,3.3.1,What is UNK> treated like in a language model?,a regular word
Original Text,3.3.1,What metrics does the exact choice of UNK> model have an effect on?,perplexity
Original Text,3.3.1,How can a language model achieve low perplexity?,by choosing a small vocabulary and assigning the unknown word a high probability
Original Text,3.3.1,What should only be compared across language models with the same vocabularies?,perplexities
Original Text,3.4.0,What is an example of an unseen context for words that appear in a test set?,they appear after a word they never appeared after in training
Original Text,3.4.0,What do we do to keep a language model from assigning zero probability to unseen events?,shave off a bit of probability mass
Original Text,3.4.0,What is shave off a bit of probability mass from some more frequent events and give it to the events we've never seen?,smoothing or discounting
Original Text,3.4.0,What type of smoothing is introduced?,Kneser-Ney
Original Text,3.4.1,What is the simplest way to do smoothing?,add one
Original Text,3.4.1,All the counts that used to be zero will now have a count of what?,1
Original Text,3.4.1,What is the simplest way to do smoothing?,Laplace smoothing
Original Text,3.4.1,What does Laplace smoothing apply to?,unigram probabilities
Original Text,3.4.1,What is Laplace smoothing's alternate name?,add-one smoothing
Original Text,3.4.1,What do we need to adjust the denominator to take into account?,the extra Y observations
Original Text,3.4.1,What happens to our P values if we don't do?,increase the denominator
Original Text,3.4.1,How does a smoothing algorithm affect the numerator?,by defining an adjusted count c*
Original Text,3.4.1,What is the adjusted count c* easier to compare with?,MLE counts
Original Text,3.4.1,What is lowering some non-zero counts in order to get the probability mass that will be assigned to the zero counts?,discounting
Original Text,3.4.1,What is the ratio of the discounted counts to the original counts?,relative discount d
Original Text,3.4.1,What do we smooth now that we have the intuition for the unigram case?,Berkeley Restaurant Project bigrams
Original Text,3.4.1,What shows the add-one smoothed counts for the bigrams in Fig. 3.1?,Figure 3.5
Original Text,3.4.1,What shows the add-one smoothed counts for the bigrams in Fig. 3.1?,Figure 3.5
Original Text,3.4.1,What shows the add-one smoothed probabilities for the bigrams in Fig. 3.2?,Figure 3.6
Original Text,3.4.1,Figure 3.6 shows the add-one smoothed probabilities for the bigrams in Fig. what?,3.2
Original Text,3.4.1,How are normal bigram probabilities computed?,by normalizing each row of counts by the unigram count
Original Text,3.4.1,What is the number of total word types in the vocabulary?,V
Original Text,3.4.1,What is the number of times a smoothing algorithm has changed the original counts?,3.6
Original Text,3.4.1,How can we see how much a smoothing algorithm has changed the original counts?,reconstruct the count matrix
Original Text,3.4.1,How can adjusted counts be computed?,Eq. 3.24
Original Text,3.4.1,How much a smoothing algorithm has changed the original counts?,3.24
Original Text,3.4.1,What shows the reconstructed counts?,Figure 3.7
Original Text,3.4.1,What smoothing algorithm has made a very big change to the counts?,add-one
Original Text,3.4.1,What changed from 609 to 238?,C(want to)
Original Text,3.4.1,P(to|want) decreases from what in the unsmoothed case to.26 in the smoothed case?,.66
Original Text,3.4.1,What is the discount for the bigram want to?,.39
Original Text,3.4.1,Why does the sharp change in counts and probabilities occur?,because too much probability mass is moved to all the zeros
Original Text,3.4.2,What is one alternative to add-one smoothing?,move a bit less of the probability mass
Original Text,3.4.2,What does add-k smoothing add instead of adding I to each count?,fractional count k
Original Text,3.4.2,What is the fractional count k?,.01
Original Text,3.4.2,What is the fractional count k?,.01
Original Text,3.4.2,What is a fractional count k called?,add-k smoothing
Original Text,3.4.2,What does add-k smoothing require?,a method for choosing k
Original Text,3.4.2,Add-k smoothing doesn't work well for what?,language modeling
Original Text,3.4.3,The discounting we have been discussing so far can help solve the problem of what?,zero frequency n-grams
Original Text,3.4.3,What can we draw on to solve the problem of zero frequency n-grams?,additional source of knowledge
Original Text,3.4.3,What can we estimate the probability of a trigram if we have no examples of it?,bigram probability
Original Text,3.4.3,"If we don't have counts to compute the bigram probability, what can we look to?",unigram probability
Original Text,3.4.3,What does using less context help to generalize more for?,contexts that the model hasn't learned much about
Original Text,3.4.3,How many ways are there to use this n-gram hierarchy?,two
Original Text,3.4.3,What does backoff use if the evidence is sufficient?,trigram
Original Text,3.4.3,What do we back off to if we have zero evidence for a higher-order n-gram?,lower-order n-gram
Original Text,3.4.3,In what method do we always mix the probability estimates from all the n-gram estimators?,interpolation
Original Text,3.4.3,How do we combine different order n-grams?,linearly interpolating all the models
Original Text,3.4.3,How do we estimate the trigram probability?,"by mixing together the unigram, bigram, and trigram probabilities"
Original Text,3.4.3,How is each weight computed in a slightly more sophisticated version of linear interpolation?,by conditioning on the context
Original Text,3.4.3,"If we have particularly accurate counts for a particular bigram, we assume that what will be more trustworthy?",the counts of the trigrams based on this bigram
Original Text,3.4.3,What shows the equation for interpolation with context-conditioned weights?,Equation 3.28
Original Text,3.4.3,What are the simple interpolation and conditional interpolation lambdas learned from?,held-out corpus
Original Text,3.4.3,What is an additional training corpus that we use to set hyperparameters like these lambda values?,A held-out corpus
Original Text,3.4.3,What do we fix in a held-out corpus?,n-gram probabilities
Original Text,3.4.3,"When plugged into Eq. 3.28, what gives us the highest probability of the held-out set?",3.26
Original Text,3.4.3,How many ways are there to find the optimal set of lambdas?,various
Original Text,3.4.3,What is an iterative learning algorithm that converges on locally optimal lambdas?,EM algorithm
Original Text,3.4.3,How do we approximate a n-gram if it has zero counts?,by backing off to the (N-1)-gram
Original Text,3.4.3,When do we continue backing off to the (N-1)-gram?,until we reach a history that has some counts
Original Text,3.4.3,"In order for a backoff model to give a correct probability distribution, we have to discount the higher-order n-grams to save",lower order n-grams
Original Text,3.4.3,What smoothing method is used when the higher-order n-grams aren't discounted?,add-one
Original Text,3.4.3,What is the name of the function that distributes the probability mass to the lower order n-grams?,n
Original Text,3.4.3,What is a backoff with discounting called?,Katz backoff
Original Text,3.4.3,What is a backoff with discounting called?,Katz backoff
Original Text,3.4.3,What do we recursively back off to for the shorter-history (N-1)-gram?,Katz probability
Original Text,3.4.3,What smoothing method is often combined with Katz backoff?,Good-Turing
Original Text,3.4.3,What backoff algorithm involves quite detailed computation for estimating the Good-Turing smoothing and the P* and alpha values?,Good-Turing
Original Text,3.5,What is one of the most commonly used and best performing n-gram smoothing methods?,interpolated Kneser-Ney algorithm
Original Text,3.5,What is the Kneser-Ney method called?,absolute discounting
Original Text,3.5,Why is discounting the counts for frequent n-grams necessary?,to save some probability mass
Original Text,3.5,Who wrote a clever idea for the Kneser-Ney algorithm?,Church and Gale
Original Text,3.5,What does an n-gram have?,count 4
Original Text,3.5,How do we discount an n-gram that has count 4?,by some amount
Original Text,3.5,How much should we discount an n-gram that has count 4?,how much
Original Text,3.5,Church and Gale's clever idea was to look at a held-out corpus and see what the count is for all those bigrams,count 4
Original Text,3.5,Church and Gale computed a bigram grammar from how many words of AP newswire?,22 million
Original Text,3.5,How many times did a bigram occur in the next 22 million words?,3.23
Original Text,3.5,What shows the counts for bigrams with c from 0 to 9?,Fig. 3.8
Original Text,3.5,Church and Gale's Fig. 3.8 shows the counts for bigrams with what count?,c from 0 to 9
Original Text,3.5,What figure shows that all the other bigram counts in the held-out set could be estimated pretty well by just subtracting 0.75 from the count in,Fig. 3.8
Original Text,3.5,How many bigram counts could be estimated pretty well by subtracting from the count in the training set?,0.75
Original Text,3.5,What formalizes this intuition by subtracting a fixed (absolute) discount d from each count?,Absolute discounting
Original Text,3.5,What will not affect the very high counts?,a small discount d
Original Text,3.5,What will a small discount d mainly modify?,smaller counts
Original Text,3.5,Fig. 3.8 suggests that in practice this discount is actually a good one for bigrams with what counts?,counts 2 through 9
Original Text,3.5,What is the second term in the equation for interpolated absolute discounting applied to bigrams?,unigram with an interpolation weight lambda
Original Text,3.5,What is the discount value for bigrams with counts of 1?,0.5
Original Text,3.5,What augments absolute discounting with a more sophisticated way to handle the lower-order unigram distribution?,Kneser-Ney discounting
Original Text,3.5,What is the job of Kneser-Ney discounting?,predicting the next word
Original Text,3.5,"What word is more likely to follow the word ""I can't see without my reading""?",glasses
Original Text,3.5,"What is a very frequent word in the word ""glasses""?",Hong Kong
Original Text,3.5,What will assign Kong a higher probability than glasses?,A standard unigram model
Original Text,3.5,What phrase is Kong mainly frequent in?,Hong Kong
Original Text,3.5,What word has a much wider distribution than Kong?,glasses
Original Text,3.5,"What answers the question ""How likely is w?""",P(w)
Original Text,3.5,How likely is w to appear as a new unseen context?,novel
Original Text,3.5,How likely is w to appear as a new unseen context?,novel
Original Text,3.5,What is the Kneser-Ney intuition based on?,the number of bigram types it completes
Original Text,3.5,When was every bigram type a novel continuation?,the first time it was seen
Original Text,3.5,We hypothesize that words that have appeared in what number of contexts in the past are more likely to appear in some new context as well?,more
Original Text,3.5,What do we normalize to turn this count into a probability?,the total number of word bigram types
Original Text,3.5,What is normalized by the number of words preceding all words?,the number of word types seen to precede w
Original Text,3.5,How many contexts does a frequent word (Kong) occur in?,one
Original Text,3.5,What is the final equation for Interpolated Kneser-Ney smoothing for bigrams?,3.35
Original Text,3.5,What is the lambda?,normalizing constant
Original Text,3.5,What is the first term of the normalized discount?,d
Original Text,3.5,What is the second term in the equation for Kneser-Ney smoothing for bigrams?,number of word types that can follow wi-1
Original Text,3.5,"What is the highest-order n-gram being interpolated if we are interpolating trigram, bigram, and unigram",trigram
Original Text,3.5,What is the number of unique single word contexts?,The continuation count
Original Text,3.5,What parameter is the empty string in the uniform distribution?,epsilon
Original Text,3.5,What word is included as a regular vocabulary entry with count zero?,UNK>
Original Text,3.5,Who wrote the best performing version of Kneser-Ney smoothing?,Chen and Goodman
Original Text,3.5,What are the three different discounts used in modified Kneser-Ney smoothing?,"d1, d2 and d3+"
Original Text,3.5,Who published a study on modified Kneser-Ney smoothing in 2013?,Heafield et al.
Original Text,3.5,In what year did Heafield et al. publish their work on modified Kneser-Ney smoothing?,2013
Original Text,3.6,What can be used to build large language models?,enormous collections
Original Text,3.6,How many words are in the Web 1 Trillion 5-gram corpus?,"1,024,908,267,229"
Original Text,3.6,How many tokens of n-grams are in Google Books Ngrams corpora?,800 billion
Original Text,3.6,How many words are in the COCA corpus of American English?,1 billion
Original Text,3.6,What is a balanced corpora?,COCA
Original Text,3.6,What considerations are important when building language models that use large sets of n-grams?,Efficiency
Original Text,3.6,How is each word represented in memory?,a 64-bit hash number
Original Text,3.6,How are probabilities quantized?,4-8 bits
Original Text,3.6,How can n-grams be shrunk?,pruning
Original Text,3.6,What is a technique used to build approximate language models?,Bloom filters
Original Text,3.6,When did Church and Osborne use Bloom filters?,2007
Original Text,3.6,What efficient language model toolkit uses sorted arrays?,KenLM
Original Text,3.6,What do efficient language model toolkits use?,sorted arrays
Original Text,3.6,What does KenLM use to efficiently build the probability tables in a minimal number of passes through a large corpus?,merge sorts
Original Text,3.6,What is used to build web-scale language models?,Kneser-Ney smoothing
Original Text,3.6,What may be sufficient with very large language models?,a much simpler algorithm
Original Text,3.6,What algorithm gives up the idea of trying to make the language model a true probability distribution?,stupid backoff
Original Text,3.6,What gives up the idea of trying to make the language model a true probability distribution?,Stupid backoff
Original Text,3.6,What does stupid backoff not do to the higher-order probabilities?,discounting
Original Text,3.6,"If a higher-order probability has a zero count, we simply backoff to a lower-order probability, weighed by a fixed",n-gram
Original Text,3.6,What does stupid backoff not produce?,probability distribution
Original Text,3.6,Where does the backoff terminate?,unigram
Original Text,3.6,What value worked well for lambda?,0.4
Original Text,3.6,What language model did Brants et al. find that a value of 0.4 worked well for?,lambda
Original Text,3.7,What was introduced in Section 3.2.1 as a way to evaluate n-gram models on a test set?,perplexity
Original Text,3.7,What does a better n-gram model assign to the test data?,higher probability
Original Text,3.7,What does the perplexity measure originate from?,information-theoretic concept of cross-entropy
Original Text,3.7,What is the relationship between perplexity and the information-theoretic concept of cross-entropy?,entropy
Original Text,3.7,What is a measure of information?,Entropy
Original Text,3.7,What is the entropy of the random variable X called?,p(x)
Original Text,3.7,"In principle, the log can be computed in what?",any base
Original Text,3.7,What is the resulting value of entropy measured in if we use log base 2?,bits
Original Text,3.7,What is an intuitive way to think about entropy?,lower bound on the number of bits it would take to encode a certain decision or piece of information in the optimal coding scheme
Original Text,3.7,Who wrote a standard information theory textbook in 1991?,Cover and Thomas
Original Text,3.7,Why would we want to send a short message to the bookie to tell him which of the eight horses to bet on?,it is too far to go all the way to Yonkers Racetrack
Original Text,3.7,What is the binary representation of the horse's number?,888
Original Text,3.7,How many bits is each horse coded with?,3 bits
Original Text,3.7,What is the question of entropy?,Can we do better
Original Text,3.7,What does the spread represent?,the prior probability of each horse
Original Text,3.7,What random variable gives us a lower bound on the number of bits?,X
Original Text,3.7,"A code that averages what bit per race can be built with short encodings for more probable horses, and longer encodings for less",2 bits
Original Text,3.7,What are the remaining horses in a code?,10
Original Text,3.7,What if the horses are what?,equally likely
Original Text,3.7,How many bits did each horse take to code?,3
Original Text,3.7,What is the same as the entropy of a binary code?,entropy
Original Text,3.7,What is the probability of each horse in an equal-length binary code?,1/8
Original Text,3.7,What is the entropy of the choice of horses?,3 bits
Original Text,3.7,Until now we have been computing the entropy of what?,single variable
Original Text,3.7,What is most of what we will use entropy for?,sequences
Original Text,3.7,For what is the entropy of some sequence of words used?,a grammar
Original Text,3.7,What is one way to compute the entropy of some sequence of words?,variable that ranges over sequences of words
Original Text,3.7,What is the entropy rate?,per-word entropy
Original Text,3.7,"To measure the true entropy of a language, we need to consider sequences of what length?",infinite length
Original Text,3.7,"What theorem states that if the language is regular in certain ways (to be exact, if it is both stationary and ergo",Shannon-McMillan-Breiman theorem
Original Text,3.7,What is the Shannon-McMillan-Breiman theorem?,a single sequence that is long enough
Original Text,3.7,What is the intuition of the Shannon-McMillan-Breiman theorem?,Shannon-McMillan-Breiman theorem
Original Text,3.7,What is said to be stationary if the probabilities it assigns to a sequence are invariant with respect to shifts in the time index,A stochastic process
Original Text,3.7,What is the same for words at time t as the probability distribution at time t+1?,probability distribution
Original Text,3.7,What models are stationary?,Markov models
Original Text,3.7,What is dependent only on Pi-1 in a bigram?,Pi
Original Text,3.7,"If we shift our time index by x, what is still dependent on Pi+x-1?",Pi+x
Original Text,3.7,"What is not stationary, since the probability of upcoming words can be dependent on events that were arbitrarily distant and time dependent?",natural language
Original Text,3.7,What do our statistical models give to the correct distributions and entropies of natural language?,approximation
Original Text,3.7,How can we compute the entropy of some stochastic process?,by taking a very long sample of the output and computing its average log probability
Original Text,3.7,What does the Shannon-McMillan-Breiman theorem introduce?,cross-entropy
Original Text,3.7,When is the cross-entropy useful?,when we don't know the actual probability distribution p
Original Text,3.7,What is a model of p?,m
Original Text,3.7,How is the cross-entropy of m on p defined?,"by drawing sequences according to the probability distribution p, but summing the log of their probabilities according to m"
Original Text,3.7,What is an upper bound on the entropy H(p)?,"H(p,m)"
Original Text,3.7,What can we use a simplified model m to help estimate the true entropy of?,a sequence of symbols drawn according to probability y
Original Text,3.7,"The more accurate m is, the closer what is the cross-entropy H(p, m) to the true entropy",closer
Original Text,3.7,What is a measure of how accurate a model is?,"H(p, m) and H(p)"
Original Text,3.7,What are the two models with the lowest cross-entropy?,m1 and m2
Original Text,3.7,The cross-entropy can never be lower than what?,true entropy
Original Text,3.7,What is the relation between cross-entropy and cross-entropy?,perplexity
Original Text,3.7,"In Eq. 3, what is the relation between perplexity and cross-entropy?",3.49
Original Text,3.7,The length of the observed word sequence goes to what?,infinity
Original Text,3.7,What will we need to estimate the cross-entropy?,an approximation
Original Text,3.7,The perplexity of a model P on a sequence of words W is now formally defined as what?,exp
Original Text,4.0,What lies at the heart of both human and machine intelligence?,Classification
Original Text,4.0,What is one example of assigning a category to an input?,assigning grades
Original Text,4.0,"Who imagined classifying animals into suckling pigs, mermaids, mermaids and stray dogs?",Jorge Luis Borges
Original Text,4.0,What type of tasks involve classification?,language processing tasks
Original Text,4.0,What is text categorization?,assigning a label or category to an entire text or document
Original Text,4.0,What is the extraction of positive or negative orientation that a writer expresses toward some object?,sentiment analysis
Original Text,4.0,What does an editorial or political text express sentiment toward?,a candidate or political action
Original Text,4.0,What type of cues do the words of a review provide?,excellent
Original Text,4.0,What types of reviews provide cues for sentiment analysis?,positive and negative
Original Text,4.0,What are two examples of cues from positive and negative reviews of movies and restaurants?,awful and ridiculously
Original Text,4.0,What is another important commercial application?,Spam detection
Original Text,4.0,What can be used to perform the binary classification task of assigning an email to one of the two classes spam or not-spam?,Many lexical and other features
Original Text,4.0,What phrases might you be suspicious of an email containing?,"""online pharmaceutical"" or ""WITHOUT ANY COST"" or ""Dear Winner"""
Original Text,4.0,What is another thing we might want to know about a text?,the language it's written in
Original Text,4.0,Texts on what can be in any number of languages?,social media
Original Text,4.0,What is the first step in most language processing pipelines?,language id
Original Text,4.0,What is determining a text's author?,authorship attribution
Original Text,4.0,What is one of the oldest tasks in text classification?,assigning a library subject category or topic label
Original Text,4.0,What is an important component of information retrieval?,epidemiology
Original Text,4.0,What does MeSH stand for?,Medical Subject Headings
Original Text,4.0,When was the naive Bayes algorithm invented?,1961
Original Text,4.0,Classification is essential for what?,tasks below the level of the document
Original Text,4.0,What is deciding if a character should be a word boundary?,word tokenization
Original Text,4.0,Even language modeling can be viewed as what?,classification
Original Text,4.0,What is the goal of classification?,"to take a single observation, extract some useful features, and thereby classify the observation into one of a set of discrete classes"
Original Text,4.0,What is one method for classifying text?,handwritten rules
Original Text,4.0,What constitutes a state-of-the-art system?,handwritten rule-based classifiers
Original Text,4.0,Why are handwritten rules fragile?,humans aren't necessarily good at coming up with the rules
Original Text,4.0,How are most cases of classification in language processing done?,supervised machine learning
Original Text,4.0,"What is the term for a data set of input observations, each associated with some correct output?",supervised learning
Original Text,4.0,What is the goal of supervised learning?,learn how to map from a new observation to a correct output
Original Text,4.0,"What type of classification is to take input x and a fixed set of output classes Y=y1,y2,...,yM and return",supervised
Original Text,4.0,What class does supervised classification use instead of y?,c
Original Text,4.0,What is the training set of in supervised classification?,N documents
Original Text,4.0,What tells us the probability of the observation being in the class?,probabilistic classifier
Original Text,4.0,What can be useful when combining systems?,making discrete decisions early on
Original Text,4.0,What is used to build classifiers?,machine learning algorithms
Original Text,4.0,What machine learning algorithm is introduced in this chapter?,naive Bayes
Original Text,4.0,How many ways of doing classification do naive Bayes and logistic regression exemplify?,two
Original Text,4.0,What type of classifiers build a model of how a class could generate some input data?,Generative classifiers
Original Text,4.0,What do Generative classifiers return given an observation?,the class most likely to have generated the observation
Original Text,4.0,What type of classifier learns what features from the input are most useful to discriminate between the different possible classes?,Discriminative classifiers
Original Text,4.0,What type of classifiers still have a role in supervised classification?,generative classifiers
Original Text,4.1,What is the multinomial Bayes classifier called?,naive
Original Text,4.1,Where is the intuition of the naive Bayes classifier shown?,Fig. 4.1
Original Text,4.1,What is the intuition of the naive Bayes classifier shown in Fig. 4.1?,4.1
Original Text,4.1,What does the classifier represent a text document as if it were?,a bag-of-words
Original Text,4.1,What is one example of a naive Bayes classifier?,I love this movie
Original Text,4.1,What type of classifier is naive Bayes?,probabilistic
Original Text,4.1,Who first applied Bayesian inference to text classification?,Mosteller and Wallace
Original Text,4.1,What is the intuition of Bayesian classification?,to transform Eq. 4.1
Original Text,4.1,What does Bayes' rule transform Eq. 4.1 into?,other probabilities
Original Text,4.1,How many other probabilities can a conditional probability P(x|y) be broken down into?,three
Original Text,4.1,What can we do by dropping the denominator P(d)?,simplify
Original Text,4.1,How can we simplify Eq. 4.3?,dropping the denominator
Original Text,4.1,How can we simplify Eq. 4.3 by dropping the denominator P(d)?,computing Eq. 4.3
Original Text,4.1,What is the denominator for Eq. 4.3?,4.3
Original Text,4.1,How does P(d) change for each class?,P(d) doesn't change for each class
Original Text,4.1,What can we choose to simplify Eq. 4.3 by dropping the denominator P(d)?,the class that maximizes this simpler formula
Original Text,4.1,What is Naive Bayes called?,generative model
Original Text,4.1,What could we imagine generating by following the generative model?,artificial documents
Original Text,4.1,In what chapter will we discuss the intuition of generative models?,Chapter 5
Original Text,4.1,What are the two probabilities that determine the most probable class c given some document d?,the prior probability of the class P(c) and the likelihood of the document P(d|c)
Original Text,4.1,"Without some simplifying assumptions, estimating the probability of every possible combination of features would require what?",huge numbers of parameters and impossibly large training sets
Original Text,4.1,What makes two simplifying assumptions?,Naive Bayes classifiers
Original Text,4.1,What is the first simplifying assumption of naive Bayes classifiers?,the bag of words assumption
Original Text,4.1,What do we assume the features only encode?,encode word identity and not position
Original Text,4.1,What is the naive Bayes assumption?,conditional independence assumption
Original Text,4.1,How do we apply the naive Bayes classifier to text?,by simply walking an index through every word position in the document
Original Text,4.1,Why are naive Bayes calculations done in log space?,increase speed
Original Text,4.1,Where do naive Bayes calculations take place?,log space
Original Text,4.1,What is the name of the naive Bayes calculation that computes the predicted class as a linear function of input features?,4.10
Original Text,4.1,What are classifiers that use a linear combination of inputs to make a classification decision called?,linear classifiers
Original Text,4.2,What probabilities can we learn?,P(c) and P(fi|c)
Original Text,4.2,What are the probabilities P(c) and P(fi|c)?,maximum likelihood estimate
Original Text,4.2,What do we use to estimate the maximum likelihood?,frequencies in the data
Original Text,4.2,What is the probability P(fi|c)?,"P(w, c)"
Original Text,4.2,What is used to give a maximum likelihood estimate of the probability?,the frequency of wi
Original Text,4.2,What is a problem with the maximum likelihood estimate?,maximum likelihood training
Original Text,4.2,"What is the problem with estimating the probability of the word ""fantastic"" given class positive?","suppose there are no training documents that both contain the word ""fantastic"" and are classified as positive"
Original Text,4.2,"How does the word ""fantastic"" happen in a negative class?",sarcastically
Original Text,4.2,"What class does the word ""fantastic"" occur in?",negative
Original Text,4.2,"What is the probability for the word ""fantastic"" in a negative class?",zero
Original Text,4.2,What naively multiplies all the feature likelihoods together?,naive Bayes
Original Text,4.2,What is Laplace smoothing?,add-one
Original Text,4.2,What is usually replaced by more sophisticated smoothing algorithms in language modeling?,Laplace smoothing
Original Text,4.2,What does the vocabulary V consist of?,all the word types in all classes
Original Text,4.2,Why are words not in our vocabulary at all?,they did not occur in any training document in any class
Original Text,4.2,What is the solution for unknown words that are not in our vocabulary at all because they did not occur in any training document in any class?,ignore them
Original Text,4.2,"What are very frequent words like ""the"" and ""a""?",stop words
Original Text,4.2,How can some systems completely ignore stop words?,"by sorting the vocabulary by frequency in the training set, and defining the top 10-100 vocabulary entries as stop words"
Original Text,4.2,What is removed from both training and test documents as if they had never occurred?,stop words
Original Text,4.2,"In most text classification applications, what is more common than using a stop word list?",make use of the entire vocabulary and not use a stop word list
Original Text,4.4,Standard naive Bayes text classification can work well for what?,sentiment analysis
Original Text,4.4,What seems to matter more than its frequency?,whether a word occurs or not
Original Text,4.4,How many words are clipped in each document?,1
Original Text,4.4,What is the variant of naive Bayes called?,binary multinomial naive Bayes
Original Text,4.4,What does binary multinomial naive Bayes use?,Eq. 4.10
Original Text,4.4,What does binary multinomial naive Bayes do for each document?,remove all duplicate words
Original Text,4.4,What shows an example in which a set of four documents (shortened and text-normalized for this example) are remapped to binary?,Fig. 4.3
Original Text,4.4,What shows an example in which a set of four documents (shortened and text-normalized for this example) are remapped to binary?,Fig. 4.3
Original Text,4.4,Why is the example worked without add-1 smoothing?,make the differences clearer
Original Text,4.4,The word great has a count of how many even for Binary NB?,2
Original Text,4.4,What is another important addition commonly made when doing text classification for sentiment?,negation
Original Text,4.4,"What is the meaning of ""I really like this movie""?",positive
Original Text,4.4,"What is the difference between ""I really like this movie"" and ""I didn't like this movie""?",negative
Original Text,4.4,What completely alters the inferences we draw from the predicate like?,negation
Original Text,4.4,Negation can modify what word to produce a positive review?,negative
Original Text,4.4,What prefix is prepended to every word after a token of logical negation?,NOT_
Original Text,4.4,"What phrase becomes ""didn't NOT_like NOT_this NOT_movie, but I""?","""didn't like this movie, but I"""
Original Text,4.4,"Newly formed words like NOT_like, NOT_recommend will occur more often in what type of documents?",negative
Original Text,4.4,When will we return to the use of parsing to deal more accurately with the scope relationship between negation words and the predicates they modify?,Chapter 16
Original Text,4.4,What do naive Bayes classifiers estimate?,positive and negative sentiment
Original Text,4.4,What are lists of words that are pre-annotated with positive or negative sentiment?,sentiment lexicons
Original Text,4.4,Who created the MPQA Subjectivity Lexicon?,"Wilson et al., 2005"
Original Text,4.4,How many words does the MPQA subjectivity lexicon have?,6885
Original Text,4.4,What is a common way to use lexicons in a naive Bayes classifier?,add a feature that is counted whenever a word from that lexicon occurs
Original Text,4.4,What is a feature that is counted whenever a word from a lexicon occurs?,this word occurs in the positive lexicon
Original Text,4.4,What is a feature that is counted whenever a word from a lexicon occurs?,this word occurs in the negative lexicon
Original Text,4.4,How many features won't work in a naive Bayes classifier?,two
Original Text,4.4,"When training data is not representative of the test set, using dense lexicon features instead of sparse individual-word features may generalize better.",sparse
Original Text,4.4,In what chapter will we discuss the use of lexicons?,Chapter 20
Original Text,4.5,What does not require that our classifier use all the words in the training data as features?,naive Bayes
Original Text,4.5,What can features in naive Bayes express?,any property of the input text
Original Text,4.5,What is the task of deciding if a particular piece of email is an example of spam?,spam detection
Original Text,4.5,What is a common solution to using all the words as features?,predefine likely sets of words or phrases as features
Original Text,4.5,What feature does SpamAssassin predefine?,one hundred percent guaranteed
Original Text,4.5,What is a non-linguistic feature of naive Bayes?,the path that the email took to arrive
Original Text,4.5,What is a naive Bayes feature that pretends everything is a string of raw bytes?,byte n-grams
Original Text,4.5,What can model statistics about the beginning or ending of words?,byte n-grams
Original Text,4.5,What is a widely used naive Bayes system?,langid.py
Original Text,4.5,Language ID systems are trained on what type of text?,multilingual
Original Text,4.5,What are two countries with large Anglophone populations?,Nigeria or India
Original Text,4.6,What can naive Bayes classifiers use?,"dictionaries, URLs, email addresses, network features, phrases"
